                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3613,                 3.6001,                 1.2094,                0.00172,                0.48563,                0.10096,                0.06595,                 1.0681,                 4.3831,                 1.0836,             0.00054574,             0.00054574,             0.00054574
                      2,                 1.2537,                 2.4765,                 1.1524,                0.48748,                 0.0625,                 0.2612,                0.17511,                 1.2587,                 3.7647,                 1.2157,              0.0010905,              0.0010905,              0.0010905
                      3,                 1.2626,                  2.131,                 1.1684,                0.42553,                0.66019,                0.45423,                 0.3015,                 1.1474,                 2.3788,                 1.1019,              0.0016243,              0.0016243,              0.0016243
