                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92701,                0.98336,                 1.0041,                0.40178,                0.83869,                0.42214,                0.30138,                 1.0196,                 1.3408,                 1.0557,              0.0011059,              0.0011059,              0.0011059
                     36,                0.94328,                0.95393,                 1.0098,                0.40214,                0.86345,                0.42933,                 0.3005,                0.99568,                 1.3335,                 1.0389,              0.0010894,              0.0010894,              0.0010894
                     37,                0.93788,                0.93293,                 1.0044,                0.38417,                0.81617,                0.42006,                0.30525,                0.97126,                 1.5533,                 1.0355,              0.0010729,              0.0010729,              0.0010729
                     38,                0.92723,                0.94176,                 1.0006,                0.47502,                0.77318,                0.53152,                0.37704,                  1.026,                 1.1743,                 1.0486,              0.0010564,              0.0010564,              0.0010564
                     39,                0.93319,                0.91825,                 1.0048,                0.41475,                 0.8149,                0.41394,                 0.2862,                  1.045,                  1.333,                 1.0618,              0.0010399,              0.0010399,              0.0010399
                     40,                0.91927,                0.89311,                  0.987,                0.39498,                0.86412,                0.43464,                0.31332,                0.96713,                 1.4408,                 1.0306,              0.0010234,              0.0010234,              0.0010234
                     41,                0.92629,                0.93021,                0.99768,                0.38166,                0.67006,                0.42576,                0.31688,                0.98282,                 1.9832,                 1.0406,              0.0010069,              0.0010069,              0.0010069
                     42,                0.91381,                0.92147,                0.98977,                0.44034,                0.83188,                0.49847,                0.35531,                0.99797,                 1.2409,                 1.0415,             0.00099036,             0.00099036,             0.00099036
                     43,                0.94632,                 0.9161,                 1.0126,                0.41015,                0.85763,                0.44109,                0.31568,                0.99549,                 1.5357,                  1.058,             0.00097386,             0.00097386,             0.00097386
                     44,                0.92697,                0.87085,                0.98848,                0.39563,                0.83539,                0.42471,                 0.3078,                 1.0095,                 1.5039,                 1.0632,             0.00095736,             0.00095736,             0.00095736
                     45,                0.90211,                0.87809,                0.98016,                0.40629,                0.86061,                0.41152,                0.29387,                 1.0192,                 1.4641,                 1.0591,             0.00094085,             0.00094085,             0.00094085
                     46,                0.88106,                0.83435,                0.97885,                0.35731,                0.74533,                0.41665,                0.30074,                0.99275,                 1.8487,                 1.0525,             0.00092435,             0.00092435,             0.00092435
                     47,                0.88201,                0.86757,                0.98419,                0.41193,                0.79392,                0.44682,                0.32267,                0.98848,                 1.4569,                 1.0445,             0.00090785,             0.00090785,             0.00090785
                     48,                0.86019,                0.81023,                0.96747,                0.42402,                0.85285,                 0.4414,                0.32007,                0.99216,                 1.2622,                 1.0417,             0.00089134,             0.00089134,             0.00089134
                     49,                0.88196,                0.80971,                0.97414,                0.42859,                0.81837,                0.45769,                0.31716,                 1.0624,                 1.3826,                 1.0703,             0.00087484,             0.00087484,             0.00087484
                     50,                0.86342,                0.76778,                0.96581,                0.43357,                0.73821,                0.44856,                 0.3317,                0.98301,                  1.407,                 1.0476,             0.00085834,             0.00085834,             0.00085834
